,x,y,z,num_sites,mollusc_cereum_bullet,mollusc_flavum_bullet,mollusc_lividum_bullet,mollusc_rubeum_bullet,mollusc_viride_bullet,mollusc_albulus_bell,lagrange_cloud_caeruleum,lagrange_cloud_croceum,lagrange_cloud_luteolum,lagrange_cloud_proto,lagrange_cloud_roseum,lagrange_cloud_rubicundum,lagrange_cloud_viride,ice_crystal_albidum,ice_crystal_flavum,ice_crystal_lindigoticum,ice_crystal_prasinum,ice_crystal_purpureum,ice_crystal_roseum,ice_crystal_rubeum,metallic_crystal_albidum,metallic_crystal_flavum,metallic_crystal_lindigoticum,metallic_crystal_prasinum,metallic_crystal_purpureum,metallic_crystal_roseum,metallic_crystal_rubeum,silicate_crystal_albidum,silicate_crystal_flavum,silicate_crystal_lindigoticum,silicate_crystal_prasinum,silicate_crystal_purpureum,silicate_crystal_roseum,silicate_crystal_rubeum,silicate_crystal_solid spheres,solid_mineral_solid spheres,added_by,mollusc,lagrange_cloud,ice_crystal,metallic_crystal,silicate_crystal,solid_mineral
DROKIO BM-U C19-1,15342.15625,-141.5,3623.125,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Viride Bullet,,Crystal Purpureum,Crystal Rubeum,,
DROKIO BS-Q B38-0,15396.84375,-142.03125,3599.28125,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Lindigoticum, Crystal Roseum",,,
DROKIO BW-V C18-1,15343.71875,-220.53125,3577.6875,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Flavum, Crystal Lindigoticum","Crystal Prasinum, Crystal Purpureum, Crystal Rubeum",,
DROKIO CC-J B29-0,15335.03125,-59.4375,3398.9375,3,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,LISA MAVRIK,"Lividum Bullet, Viride Bullet",,"Crystal Albidum, Crystal Prasinum, Crystal Purpureum",,"Crystal Lindigoticum, Crystal Purpureum",
DROKIO CR-D C15-0,15295.1875,-61.03125,3420.40625,1,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Nigel Prang,Viride Bullet,,"Crystal Albidum, Crystal Prasinum",,,
DROKIO CR-T B23-0,15298.5625,-62.0,3280.1875,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Hoyel,Lividum Bullet,,"Crystal Flavum, Crystal Roseum",,,
DROKIO CT-O D7-3,15302.71875,-98.625,3438.34375,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Nigel Prang,Lividum Bullet,,Crystal Flavum,,,Mineral Solid spheres
DROKIO CT-O D7-5,15369.96875,-64.53125,3461.3125,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,CMDR LISA MAVRIK,Cereum Bullet,,,Crystal Rubeum,,
DROKIO CY-F B44-0,15430.53125,-157.28125,3726.875,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Lividum Bullet,,"Crystal Flavum, Crystal Lindigoticum, Crystal Rubeum",,,
DROKIO DA-S B51-0,15362.84375,-128.1875,3880.15625,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO DD-X B48-0,15571.125,-158.375,3815.625,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,"Lividum Bullet, Viride Bullet",,"Crystal Lindigoticum, Crystal Prasinum, Crystal Purpureum, Crystal Rubeum",,,
DROKIO DI-I C26-4,15417.96875,-68.53125,3905.84375,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO DM-U C19-2,15439.90625,-119.03125,3648.96875,3,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,ADM INFWHALE,"Lividum Bullet, Rubeum Bullet",,Crystal Albidum,Crystal Purpureum,Crystal Flavum,Mineral Solid spheres
DROKIO DN-G B44-0,15565.09375,-101.1875,3715.875,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Lividum Bullet,,"Crystal Lindigoticum, Crystal Prasinum",,,
DROKIO DR-D C15-1,15341.65625,-62.8125,3416.15625,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,CMDR LISA MAVRIK,Viride Bullet,,"Crystal Lindigoticum, Crystal Roseum",,,
DROKIO DS-Q B38-0,15447.84375,-133.78125,3598.34375,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Cereum Bullet,,,Crystal Flavum,,
DROKIO DX-A B33-0,15321.5,-180.875,3494.21875,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Albidum, Crystal Flavum, Crystal Roseum",,,
DROKIO DY-O B39-0,15371.625,-142.5,3618.84375,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Prasinum, Crystal Purpureum",,,
DROKIO DY-F B44-0,15449.53125,-155.25,3717.1875,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Lividum Bullet,,"Crystal Albidum, Crystal Flavum","Crystal Prasinum, Crystal Purpureum",,
DROKIO ED-G B44-0,15497.09375,-143.9375,3718.21875,2,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Viride Bullet,,"Crystal Albidum, Crystal Purpureum, Crystal Rubeum",,,
DROKIO EM-U C19-0,15458.59375,-139.84375,3616.90625,3,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,"Cereum Bullet, Lividum Bullet",,Crystal Albidum,"Crystal Prasinum, Crystal Purpureum, Crystal Roseum",,
DROKIO EN-Z B33-0,15338.5,-143.46875,3496.03125,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Albidum, Crystal Flavum, Crystal Prasinum, Crystal Roseum",,,
DROKIO EO-O D7-2,15317.375,-171.0,3443.125,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Flavum, Crystal Lindigoticum, Crystal Prasinum, Crystal Purpureum",,,
DROKIO EY-P B38-0,15298.4375,-212.5625,3612.65625,2,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,"Cereum Bullet, Rubeum Bullet",,"Crystal Albidum, Crystal Lindigoticum, Crystal Prasinum",,,
DROKIO FE-E B45-0,15414.6875,-159.15625,3749.625,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Lividum Bullet,,"Crystal Lindigoticum, Crystal Prasinum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",,,
DROKIO FI-G B44-0,15555.46875,-122.3125,3719.46875,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Viride Bullet,,"Crystal Flavum, Crystal Lindigoticum, Crystal Prasinum, Crystal Purpureum",,,
DROKIO FJ-F B44-0,15358.96875,-221.21875,3717.875,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKIO FN-Z B33-0,15357.5625,-142.25,3500.1875,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Viride Bullet,,"Crystal Lindigoticum, Crystal Prasinum, Crystal Roseum",,,
DROKIO FS-K C24-0,15337.59375,-341.5,3818.03125,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO FZ-C B46-0,15438.75,-104.84375,3755.03125,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO FY-F B44-0,15481.5625,-157.5,3725.78125,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Viride Bullet,,"Crystal Albidum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",Crystal Purpureum,,
DROKIO GD-I C26-2,15465.8125,-119.03125,3908.6875,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO GJ-F B44-0,15375.5,-221.96875,3715.0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKIO GJ-V B49-0,15538.53125,-160.84375,3835.25,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Viride Bullet,,"Crystal Albidum, Crystal Prasinum, Crystal Roseum",,,
DROKIO GQ-C B59-0,-1.0,-1.0,-1.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,TOKOLOSE,Lividum Bullet,,"Crystal Lindigoticum, Crystal Roseum",,,
DROKIO GN-Z B33-0,15376.46875,-142.09375,3512.03125,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Lividum Bullet,,"Crystal Albidum, Crystal Flavum, Crystal Lindigoticum, Crystal Rubeum",,,
DROKIO GS-J C25-2,15553.46875,-175.40625,3864.25,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R!pP3rT,Lividum Bullet,,"Crystal Albidum, Crystal Flavum",Crystal Rubeum,,
DROKIO GW-E C14-0,15384.09375,-164.28125,3395.46875,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO GW-E C14-1,15376.5625,-165.53125,3383.15625,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO GZ-M d8-14,15300.09375,-92.9375,3504.21875,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Nigel Prang,Cereum Bullet,,"Crystal Roseum, Crystal Rubeum",,"Crystal Lindigoticum, Crystal Prasinum",
DROKIO HH-D C15-0,15356.84375,-139.9375,3431.28125,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO HJ-D B46-1,15569.3125,-51.09375,3759.5625,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO HR-L B27-0,15398.0,-160.53125,3357.125,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO HZ-M D8-6,15425.03125,-101.0,3506.8125,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,LISA MAVRIK,Cereum Bullet,,,,Crystal Lindigoticum,
DROKIO II-S E4-0,15333.9375,-227.25,3719.78125,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKIO IJ-E B45-0,15498.21875,-139.78125,3740.3125,3,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,"Lividum Bullet, Viride Bullet",,"Crystal Lindigoticum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",,,
DROKIO IJ-W B35-0,15339.96875,-100.28125,3540.21875,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Nigel Prang,Viride Bullet,,"Crystal Lindigoticum, Crystal Prasinum, Crystal Purpureum, Crystal Rubeum",,,
DROKIO IU-M D8-1,15345.9375,-135.9375,3523.5625,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO IU-M D8-6,15309.0625,-168.59375,3537.28125,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,SciberWolf,Cereum Bullet,,,"Crystal Prasinum, Crystal Rubeum",,
DROKIO KB-P B53-0,15460.3125,-82.5,3916.125,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO KF-X B47-0,-1.0,-1.0,-1.0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Nick Nicholson,Lividum Bullet,,"Crystal Albidum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",Crystal Purpureum,,
DROKIO KT-Q E5-2,15307.6875,-91.21875,3812.4375,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO KY-X B34-0,15415.875,-119.65625,3515.90625,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO LK-C B46-0,15440.5625,-159.3125,3760.15625,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,"Crystal Purpureum, Crystal Roseum",,,
DROKIO LP-C B46-0,15481.5,-128.75,3772.15625,2,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Rated Decent,Lividum Bullet,Cloud Proto,"Crystal Albidum, Crystal Flavum, Crystal Roseum",,Crystal Rubeum,
DROKIO LZ-C B46-0,15560.6875,-91.0625,3758.71875,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO MA-L D9-5,15352.3125,-113.0,3603.6875,3,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Nigel Prang,"Cereum Bullet, Lividum Bullet, Viride Bullet",,"Crystal Lindigoticum, Crystal Prasinum, Crystal Roseum, Crystal Rubeum",Crystal Prasinum,,
DROKIO MI-B C16-1,15324.0,-168.25,3469.84375,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO MJ-P C22-0,15376.84375,-101.15625,3735.125,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Lividum Bullet,,"Crystal Albidum, Crystal Lindigoticum",,,
DROKIO MO-Q E5-0,15406.28125,-300.6875,3761.625,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO MO-Q E5-1,15392.78125,-297.1875,3735.75,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO MU-C B46-0,15548.40625,-108.65625,3759.1875,3,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Viride Bullet,,"Crystal Albidum, Crystal Purpureum, Crystal Roseum, Crystal Rubeum",,,
DROKIO MU-D B45-0,15461.28125,-189.9375,3745.375,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Malzerina,,,,,,
DROKIO MY-P B25-0,15313.84375,-80.5,3325.3125,1,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Nigel Prang,"Cereum Bullet, Flavum Bullet, Lividum Bullet, Rubeum Bullet, Viride Bullet",,Crystal Albidum,,Crystal Prasinum,
DROKIO MY-Z c16-0,15314.21875,-99.78125,3509.75,2,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,Nigel Prang,Cereum Bullet,,,"Crystal Purpureum, Crystal Rubeum",,
DROKIO NF-B B47-0,15529.21875,-91.71875,3789.40625,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO NH-W B49-1,15358.9375,-56.5,3847.46875,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO NJ-P C22-2,15447.65625,-77.3125,3754.5625,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,Cereum Bullet,,"Crystal Flavum, Crystal Purpureum",,,
DROKIO NO-P C22-1,15499.5625,-58.34375,3742.40625,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,R!pP3rT,Cereum Bullet,,,"Crystal Flavum, Crystal Rubeum",,
DROKIO NO-Q E5-0,15456.90625,-332.09375,3755.125,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO NP-D B45-0,15440.625,-208.5,3749.5,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,,,,,,
DROKIO OE-X B34-0,15337.25,-204.15625,3517.4375,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Viride Bullet,,"Crystal Lindigoticum, Crystal Prasinum, Crystal Rubeum",Crystal Flavum,,
DROKIO OF-B B47-0,15547.90625,-103.46875,3783.0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO OW-X B48-0,15421.1875,-66.875,3828.625,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,ADM INFWHALE,Cereum Bullet,,,"Crystal Prasinum, Crystal Purpureum",,
DROKIO OG-Z B47-0,15421.25,-108.96875,3810.3125,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,R!pP3rT,,,,,,
DROKIO OP-C B45-0,-1.0,-1.0,-1.0,2,True,True,True,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Nigel Prang,"Cereum Bullet, Flavum Bullet, Lividum Bullet, Rubeum Bullet, Viride Bullet",,"Crystal Albidum, Crystal Flavum, Crystal Roseum",,Crystal Purpureum,
DROKIO OQ-J B42-0,15336.9375,-141.34375,3679.5625,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Rated Decent,Viride Bullet,Cloud Proto,"Crystal Flavum, Crystal Roseum",,,
